Brand,Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
Gardena,07/26/2026,X001SN1UCX,B07NYCT5CJ,LG0744,"Gardena 18542 CleverRoll M Metal Hose Cart LG0744 - Frost Proof, Sturdy Storage",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,VSHB
Gardena,07/26/2026,X001SWC9YH,B00HPXVFWW,LG0748,"Gardena 18033-20 Comfort Flex Hose LG0748-1/2"" x 20m, Durable & Flexible",SELLABLE,49,0,0,0,0,0,0,0,0,0,0,0,49,0,VSHB
Gardena,07/26/2026,X001SWC9YR,B00PNUCBNG,LG0833,"Gardena 18280-20 Repair Kit LG0833 - For 13mm (1/2"") & 15mm (5/8"") Hoses",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IDX2
Gardena,07/26/2026,X001SWC9YR,B00PNUCBNG,LG0833,"Gardena 18280-20 Repair Kit LG0833 - For 13mm (1/2"") & 15mm (5/8"") Hoses",SELLABLE,18,0,0,0,0,0,0,0,0,0,0,0,18,0,VSHB
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,AMD2
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,CCX2
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,HYD8
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,IDX2
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,PNQ3
Gardena,07/26/2026,X001SWC9Z1,B0BNV9V36C,18980-28,"Gardena 18980-20 Basic Hose Reel Set LG0995-20m, 1/2"" Hose, Includes Spray Gun",SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,VSHB
Gardena,07/26/2026,X001SWC9ZB,B00PNUCBKE,LG0786,Gardena 18285-20 Rapid Connector Set LG0786 - Quick & Easy Hose Connection,SELLABLE,9,0,0,0,0,0,0,0,0,0,0,0,9,0,VSHB
Gardena,07/26/2026,X001SWC9ZL,B0C2CS8D2X,LG0993,GARDENA Water Sprayers Basic Starter Set 18960-28,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,CCX1
Gardena,07/26/2026,X001SWC9ZL,B0C2CS8D2X,LG0993,GARDENA Water Sprayers Basic Starter Set 18960-28,SELLABLE,42,0,0,0,0,0,0,0,0,0,0,0,42,0,VSHB
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX2
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CJB1
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD3
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IDX2
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PNQ3
Gardena,07/26/2026,X001SWFODF,B08M91W7CC,LG0922,"Gardena 18610-20 Wall Hose Box LG0922 - RollUp M, 20m Capacity, Compact Design",SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,VSHB
Gardena,07/26/2026,X001SWFODP,B08KGCMG8S,LG0844,GARDENA 11120-30 Pressure Sprayer LG0844 1.25L with 360° Spray Head,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001SWFODP,B08KGCMG8S,LG0844,GARDENA 11120-30 Pressure Sprayer LG0844 1.25L with 360° Spray Head,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,CCX1
Gardena,07/26/2026,X001SWFODP,B08KGCMG8S,LG0844,GARDENA 11120-30 Pressure Sprayer LG0844 1.25L with 360° Spray Head,SELLABLE,18,0,0,0,0,0,0,0,0,0,0,0,18,0,VSHB
Gardena,07/26/2026,X001SWFODZ,B07ZLQG24K,LG0777,GARDENA 8944-30 combisystem Hand Tools Set - Complete Garden Tool Kit,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,HYD8
Gardena,07/26/2026,X001SWFODZ,B07ZLQG24K,LG0777,GARDENA 8944-30 combisystem Hand Tools Set - Complete Garden Tool Kit,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,VSHB
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AMD2
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,BLR8
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX2
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CJB1
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LKO1
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,PNQ3
Gardena,07/26/2026,X001SWFOEJ,B0BNV7R59W,LG0992,"Gardena 18982-29 Basic Wall Hose Reel LG0992-25m, Space-Saving",SELLABLE,44,0,0,0,0,0,0,0,0,0,0,0,44,0,VSHB
Gardena,07/26/2026,X001SWGM6N,B01FE8M0BY,LG0903,GARDENA 8854-20 Bypass Secateurs LG0903 Precision Cut up to 18mm,SELLABLE,9,0,0,0,0,0,0,0,0,0,0,0,9,0,BLR8
Gardena,07/26/2026,X001SWGM6N,B01FE8M0BY,LG0903,GARDENA 8854-20 Bypass Secateurs LG0903 Precision Cut up to 18mm,SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,HYD8
Gardena,07/26/2026,X001SWGM6N,B01FE8M0BY,LG0903,GARDENA 8854-20 Bypass Secateurs LG0903 Precision Cut up to 18mm,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,VSHB
Gardena,07/26/2026,X001SWGM6X,B0BNLPP39G,LG0999,"Gardena 12212-20 FreshCut Harvest Scissors LG0999 - Stainless Steel, Precise Cutting",SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,VSHB
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CJB1
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD3
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,IDX2
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LKO1
Gardena,07/26/2026,X001SWGM77,B004I6AK34,LG0964,"GARDENA 3107-20 XXL Fan Rake LG0964 for Leaves & Lawn, 77cm Wide",SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,VSHB
Gardena,07/26/2026,X001SWGM7H,B07H6LCVLR,LG0996,"Gardena Spreader L: Universal Spreader for Delivering Fertiliser, Seeds and Salt, 45 cm Spreading Width, for About 400 m sq of Lawn Area, 12.5 Litre Capacity, with a Locking Slide (432-20)",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,VSHB
Gardena,07/26/2026,X001SWGM7R,B08M9F4CQP,LG0850,"Gardena 18620-20 Wall Hose Box LG0850 - RollUp ML, 25m Capacity, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001SWGM7R,B08M9F4CQP,LG0850,"Gardena 18620-20 Wall Hose Box LG0850 - RollUp ML, 25m Capacity, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX2
Gardena,07/26/2026,X001SWGM7R,B08M9F4CQP,LG0850,"Gardena 18620-20 Wall Hose Box LG0850 - RollUp ML, 25m Capacity, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD3
Gardena,07/26/2026,X001SWGM7R,B08M9F4CQP,LG0850,"Gardena 18620-20 Wall Hose Box LG0850 - RollUp ML, 25m Capacity, Space-Saving",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PNQ3
Gardena,07/26/2026,X001SWGM81,B0BNLM3XNZ,LG1001,GARDENA HerbCut Herb Scissors with Defoliation Function - Stainless Steel Scissors for Precise Harvesting (12214-36),SELLABLE,20,0,0,0,0,0,0,0,0,0,0,0,20,0,VSHB
Gardena,07/26/2026,X001SWGNNZ,B0BNLMWHCD,LG1000,"Gardena 12213-20 Harvesting Scissors LG1000 - Stainless Steel, Gripping Function, Sharp Cut",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR7
Gardena,07/26/2026,X001SWGNNZ,B0BNLMWHCD,LG1000,"Gardena 12213-20 Harvesting Scissors LG1000 - Stainless Steel, Gripping Function, Sharp Cut",SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,VSHB
Gardena,07/26/2026,X001SWGNO9,B084918LFT,LG0768,"Gardena 8730-20 Mechanical Grass Shears LG0768 - Classic, Effortless Edging",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001SWGNO9,B084918LFT,LG0768,"Gardena 8730-20 Mechanical Grass Shears LG0768 - Classic, Effortless Edging",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX1
Gardena,07/26/2026,X001SWGNO9,B084918LFT,LG0768,"Gardena 8730-20 Mechanical Grass Shears LG0768 - Classic, Effortless Edging",SELLABLE,6,0,0,0,0,0,0,0,0,0,0,0,6,0,VSHB
Gardena,07/26/2026,X001SWGNOT,B07JLJ4N44,LG0997,GARDENA 12005-20 TeleCut B Lopper LG0997 Adjustable 52-67cm 42mm Cut,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,BLR8
Gardena,07/26/2026,X001SWGNOT,B07JLJ4N44,LG0997,GARDENA 12005-20 TeleCut B Lopper LG0997 Adjustable 52-67cm 42mm Cut,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,VSHB
Gardena,07/26/2026,X001SWGNP3,B0C4443XXC,LG0994,"Gardena 18970-20 Basic Hose Set LG0994-1/2"", 20m, Includes Spray Gun & Connector",SELLABLE,20,0,0,0,0,0,0,0,0,0,0,0,20,0,VSHB
Gardena,07/26/2026,X001SWGNPD,B0BNLP3VH1,LG1002,GARDENA 17400-20 combisystem Berry Picker - Harvester with Integrated Basket for Collecting Berries and Stone Fruits,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,HYD8
BKR,07/26/2026,X001TH9YCB,B098DSHBGZ,LG0817,"BKR® Heavy Duty Manual Lawn Mower with Side Wheel, 14-Inch Blade, Mowing Area 600sq. ft, Adjustable Cutting Height (5-30mm), 20L Grass Collection Box with 6-Month Manufacturer Warranty",SELLABLE,100,0,0,0,0,0,0,0,0,0,0,0,100,0,VSHB
Gardena,07/26/2026,X001TZ8TC9,B07ZLWW6YW,LG0914,Gardena 3565-20 Leaf Collector LG0914 - Easy Lawn Cleanup,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,VSHB
Gardena,07/26/2026,X001UV7KNB,B076WVPZM5,LG0910,Gardena Combisystem Fruit Picker 3115-20,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,VSHB
Gardena,07/26/2026,X001UV7MEN,B07YSTJSCZ,LG0775,"Gardena 12302-20 Hedge Shear LG0775 - PrecisionCut, Sharp, Easy Trim",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LKO1
Gardena,07/26/2026,X001VC1ZJJ,B002VED3M0,LG0911,Gardena 2650 164-Foot Wall Mount Removable Garden Hose Reel With Hose Guide,SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,VSHB
BKR,07/26/2026,X001VH1IRX,B0CJFG9MV3,HM0158 1,"BKR Charcoal Grill Barbecue Grill Smokey with 10 Skewers, Tong, Gloves, Charcoal pack & 4 Grills - Stellar Black",SELLABLE,9,0,0,0,0,0,0,0,0,0,0,0,9,0,VSHB
Gardena,07/26/2026,X001VH1IS7,B07ZLQV7C3,LG0774,"Gardena 8964-20 Comfort Hand Tools Set LG0774 - Trowel, Rake & More",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001VH1IS7,B07ZLQV7C3,LG0774,"Gardena 8964-20 Comfort Hand Tools Set LG0774 - Trowel, Rake & More",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
Gardena,07/26/2026,X001VH1IS7,B07ZLQV7C3,LG0774,"Gardena 8964-20 Comfort Hand Tools Set LG0774 - Trowel, Rake & More",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,VSHB
Gardena,07/26/2026,X001W7V7H3,B09J92FTT4,LG1005,"Gardena 13218-20 Pipe Peg LG1005-3/16"", Secure Hold, Easy Setup",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CJB1
Gardena,07/26/2026,X001W7V7H3,B09J92FTT4,LG1005,"Gardena 13218-20 Pipe Peg LG1005-3/16"", Secure Hold, Easy Setup",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,VSHB
Gardena,07/26/2026,X001W7V9HL,B0BNLMKB35,LG1003,"Gardena Micro-Drip-System Small Area Spray Nozzle: Spray Nozzle for Automatic Irrigation System, for Small Areas up to 40 cm in Diameter, Simple Connection to 13 mm Connecting Pipe (13306-20)",SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,BLR8
Gardena,07/26/2026,X001W7V9HL,B0BNLMKB35,LG1003,"Gardena Micro-Drip-System Small Area Spray Nozzle: Spray Nozzle for Automatic Irrigation System, for Small Areas up to 40 cm in Diameter, Simple Connection to 13 mm Connecting Pipe (13306-20)",SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,VSHB
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR7
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,BLR8
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,BOM5
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM7
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX1
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,CCX2
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CJB1
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,IDX2
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LKO1
Gardena,07/26/2026,X001W7W5TR,B0BNLPLD7V,LG1004,"Gardena 18266-20 Coupling LG1004 - Flow Control Valve, Regulate Water Flow",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,MAA4
Gardena,07/26/2026,X001WFRH7J,B0001E41DW,LG0928,"GARDENA 8324-U Plugs 1/2"" - Micro Drip System",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,VSHB
Gardena,07/26/2026,X001WFRH7T,B076WVPZM6,LG0899,"Gardena City Gardening Mist Nozzle: 3 Nozzles, Fine Mist, Low Water Consumption, Cooling, Grey",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,VSHB
Gardena,07/26/2026,X001WFRH83,B006D8V2XM,LG0886,"Gardena 2784-20 L-Piece LG0886-25mm x 3/4"" Female Thread, Secure Connection",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,MAA4
Gardena,07/26/2026,X001WFRH83,B006D8V2XM,LG0886,"Gardena 2784-20 L-Piece LG0886-25mm x 3/4"" Female Thread, Secure Connection",SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,VSHB
Gardena,07/26/2026,X001WFRH8D,B007C12KEO,LG0893,"Gardena 2740-20 Sprinkler Connection LG0893-3/4"" x 3/4"", Easy Linkage",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM5
Gardena,07/26/2026,X001WFRH8D,B007C12KEO,LG0893,"Gardena 2740-20 Sprinkler Connection LG0893-3/4"" x 3/4"", Easy Linkage",SELLABLE,13,0,0,0,0,0,0,0,0,0,0,0,13,0,VSHB
Gardena,07/26/2026,X001WFRH8N,B07RN9K6SV,LG0781,GARDENA 8194-20 Four Channel Water Distributor - 4 Devices on One Tap,SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,LKO1
Gardena,07/26/2026,X001WFRH8N,B07RN9K6SV,LG0781,GARDENA 8194-20 Four Channel Water Distributor - 4 Devices on One Tap,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,VSHB
Gardena,07/26/2026,X001WG0LH1,B00LM2IE12,LG0791,GARDENA 938-20 Twin Tap Connector 3/4 inch,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
Gardena,07/26/2026,X001WG0LH1,B00LM2IE12,LG0791,GARDENA 938-20 Twin Tap Connector 3/4 inch,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,VSHB
Gardena,07/26/2026,X001WG0LHB,B0013BBSB0,LG0836,"Gardena 8735-20 Rotatable Grass Shears LG0836 - Comfortable, Flexible Cutting",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,BLR8
Gardena,07/26/2026,X001WG0LHB,B0013BBSB0,LG0836,"Gardena 8735-20 Rotatable Grass Shears LG0836 - Comfortable, Flexible Cutting",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,VSHB
Gardena,07/26/2026,X001WG0LHL,B00HS9T9MQ,LG0898,"Gardena 18025-20 Classic Hose LG0898-3/4"", 50m, Durable Watering Solution",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
Gardena,07/26/2026,X001WG0LHL,B00HS9T9MQ,LG0898,"Gardena 18025-20 Classic Hose LG0898-3/4"", 50m, Durable Watering Solution",SELLABLE,18,0,0,0,0,0,0,0,0,0,0,0,18,0,VSHB
Gardena,07/26/2026,X001WG0LHV,B08KGSSTR9,LG0841,"Gardena 11510-20 Planting Glove LG0841 - Protective, Waterproof, Flexible Fit",SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,BLR7
Gardena,07/26/2026,X001WG0LHV,B08KGSSTR9,LG0841,"Gardena 11510-20 Planting Glove LG0841 - Protective, Waterproof, Flexible Fit",SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,VSHB
Gardena,07/26/2026,X001WG0LI5,B07YSSVYH4,LG0782,"Gardena Tap Connector for Indoor Taps: Connection for Indoor Taps, Including Adapter for Aerator Head, Spanner for Easy Fitting, for Kitchen and Bathroom (18210-20), Multicolour",SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,VSHB
Gardena,07/26/2026,X001WG49C9,B000NUTO0O,LG0916,GARDENA 2760-20 Auto Drain Valve LG0916 for Underground Irrigation,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
Gardena,07/26/2026,X001WG49C9,B000NUTO0O,LG0916,GARDENA 2760-20 Auto Drain Valve LG0916 for Underground Irrigation,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,MAA4
Gardena,07/26/2026,X001WG49C9,B000NUTO0O,LG0916,GARDENA 2760-20 Auto Drain Valve LG0916 for Underground Irrigation,SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,VSHB
